Date,Full date,Meditated,Practiced guitar,Ran today
"@February 7, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@February 8, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@February 17, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@February 24, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@February 20, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@February 10, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@February 11, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@February 14, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@February 12, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@February 15, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@February 21, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@March 5, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@March 12, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@March 1, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@March 13, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@March 8, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@February 27, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@February 26, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@March 10, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@March 15, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@March 6, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@February 28, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@March 4, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@March 2, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@March 11, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@March 9, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@March 7, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@February 25, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@March 14, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@March 17, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@March 3, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@March 18, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@March 19, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@March 16, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@March 28, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@March 23, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@April 3, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@April 8, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@April 7, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@March 31, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@March 25, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@March 24, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@March 20, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@March 21, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@April 4, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@March 27, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@March 22, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@March 26, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@March 30, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@April 9, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@April 6, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@March 29, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@April 1, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@April 5, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@April 2, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@April 19, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@April 11, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@April 17, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@April 13, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@April 22, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@April 12, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@April 10, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@April 18, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@April 23, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@April 20, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@April 16, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@April 24, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@April 25, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@April 21, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@April 15, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@April 14, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@May 3, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@May 1, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@April 30, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@May 5, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@April 26, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@April 27, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@May 4, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@April 29, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@April 28, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@May 2, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@May 6, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@May 7, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@May 10, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@May 9, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@May 8, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@May 11, 2025 ","May 11, 2025 8:24 PM",No,No,No
"@May 12, 2025 ","May 12, 2025 4:43 AM",No,No,No
"@May 13, 2025 ","May 13, 2025 4:42 AM",No,No,No
"@May 14, 2025 ","May 14, 2025 4:06 AM",No,No,No
"@May 15, 2025 ","May 15, 2025 4:09 AM",No,No,No
"@May 16, 2025 ","May 16, 2025 4:25 AM",No,No,No
"@May 17, 2025 ","May 17, 2025 4:07 AM",No,No,No
"@May 18, 2025 ","May 18, 2025 4:22 AM",No,No,No
"@May 19, 2025 ","May 19, 2025 4:13 AM",No,No,No
"@May 20, 2025 ","May 20, 2025 4:43 AM",No,No,No
"@May 21, 2025 ","May 21, 2025 4:10 AM",No,No,No
"@May 22, 2025 ","May 22, 2025 4:34 AM",No,No,No
"@May 23, 2025 ","May 23, 2025 4:37 AM",No,No,No
"@May 24, 2025 ","May 24, 2025 4:23 AM",No,No,No
"@May 25, 2025 ","May 25, 2025 4:36 AM",No,No,No
"@May 26, 2025 ","May 26, 2025 4:25 AM",No,No,No
"@May 27, 2025 ","May 27, 2025 4:20 AM",No,No,No
"@May 28, 2025 ","May 28, 2025 4:37 AM",No,No,No
"@May 29, 2025 ","May 29, 2025 4:22 AM",No,No,No
"@May 30, 2025 ","May 30, 2025 4:49 AM",No,No,No
"@May 31, 2025 ","May 31, 2025 4:42 AM",No,No,No
"@June 1, 2025 ","June 1, 2025 4:13 AM",No,No,No
"@June 2, 2025 ","June 2, 2025 4:04 AM",No,No,No
"@June 3, 2025 ","June 3, 2025 4:06 AM",No,No,No
"@June 4, 2025 ","June 4, 2025 4:41 AM",No,No,No
"@June 5, 2025 ","June 5, 2025 4:11 AM",No,No,No
"@June 6, 2025 ","June 6, 2025 4:42 AM",No,No,No
"@June 7, 2025 ","June 7, 2025 4:33 AM",No,No,No
"@June 8, 2025 ","June 8, 2025 4:37 AM",No,No,No
"@June 9, 2025 ","June 9, 2025 4:05 AM",No,No,No
"@June 10, 2025 ","June 10, 2025 4:40 AM",No,No,Yes
"@June 11, 2025 ","June 11, 2025 4:55 AM",No,No,No
"@June 12, 2025 ","June 12, 2025 4:12 AM",No,No,No
"@June 13, 2025 ","June 13, 2025 5:05 AM",No,No,No
"@June 14, 2025 ","June 14, 2025 4:47 AM",No,No,No
"@June 15, 2025 ","June 15, 2025 4:47 AM",No,No,No
"@June 16, 2025 ","June 16, 2025 4:41 AM",No,No,No
"@June 17, 2025 ","June 17, 2025 4:24 AM",No,No,No
"@June 18, 2025 ","June 18, 2025 4:46 AM",No,No,No
"@June 19, 2025 ","June 19, 2025 4:47 AM",No,No,No
"@June 20, 2025 ","June 20, 2025 4:02 AM",No,No,No
"@June 21, 2025 ","June 21, 2025 4:30 AM",No,No,No
"@June 22, 2025 ","June 22, 2025 4:55 AM",No,No,No
"@June 23, 2025 ","June 23, 2025 4:49 AM",No,No,No
"@June 24, 2025 ","June 24, 2025 4:39 AM",No,No,No
"@June 25, 2025 ","June 25, 2025 4:54 AM",No,No,No
"@June 26, 2025 ","June 26, 2025 4:15 AM",No,No,No
"@June 27, 2025 ","June 27, 2025 4:53 AM",No,No,No
"@June 28, 2025 ","June 28, 2025 4:41 AM",No,No,No
"@June 29, 2025 ","June 29, 2025 4:25 AM",No,No,No
"@June 30, 2025 ","June 30, 2025 4:24 AM",No,No,No
"@July 1, 2025 ","July 1, 2025 4:56 AM",No,No,No
"@July 2, 2025 ","July 2, 2025 4:50 AM",No,No,No
"@July 3, 2025 ","July 3, 2025 4:38 AM",No,No,No
"@July 4, 2025 ","July 4, 2025 4:15 AM",No,No,No
"@July 5, 2025 ","July 5, 2025 4:52 AM",No,No,No
"@July 6, 2025 ","July 6, 2025 4:29 AM",No,No,No
"@July 7, 2025 ","July 7, 2025 4:39 AM",No,No,No
"@July 8, 2025 ","July 8, 2025 4:31 AM",No,No,No
"@July 9, 2025 ","July 9, 2025 4:07 AM",No,No,No
"@July 10, 2025 ","July 10, 2025 4:25 AM",No,No,No
"@July 11, 2025 ","July 11, 2025 4:54 AM",No,No,No
"@July 12, 2025 ","July 12, 2025 4:09 AM",No,No,No
"@July 13, 2025 ","July 13, 2025 4:36 AM",No,No,No
"@July 14, 2025 ","July 14, 2025 4:46 AM",No,No,No
"@July 15, 2025 ","July 15, 2025 4:37 AM",No,No,No
"@July 16, 2025 ","July 16, 2025 4:38 AM",No,No,No
"@July 17, 2025 ","July 17, 2025 4:07 AM",No,No,No
"@July 18, 2025 ","July 18, 2025 4:32 AM",No,No,No
"@July 19, 2025 ","July 19, 2025 4:31 AM",No,No,No
"@July 20, 2025 ","July 20, 2025 4:33 AM",No,No,No
"@July 21, 2025 ","July 21, 2025 4:52 AM",No,No,No
"@July 22, 2025 ","July 22, 2025 4:41 AM",No,No,No
"@July 23, 2025 ","July 23, 2025 4:16 AM",No,No,No
"@July 24, 2025 ","July 24, 2025 4:33 AM",No,No,No
"@July 25, 2025 ","July 25, 2025 4:06 AM",No,No,No
"@July 26, 2025 ","July 26, 2025 4:53 AM",No,No,No
"@July 27, 2025 ","July 27, 2025 4:49 AM",No,No,No
"@July 28, 2025 ","July 28, 2025 4:46 AM",No,No,No
"@July 29, 2025 ","July 29, 2025 4:00 AM",No,No,No
"@July 30, 2025 ","July 30, 2025 4:02 AM",No,No,No
"@July 31, 2025 ","July 31, 2025 4:10 AM",No,No,No
"@August 1, 2025 ","August 1, 2025 4:51 AM",No,No,No
"@August 2, 2025 ","August 2, 2025 4:42 AM",No,No,No
"@August 3, 2025 ","August 3, 2025 4:09 AM",No,No,No
"@August 4, 2025 ","August 4, 2025 4:17 AM",No,No,No
"@August 5, 2025 ","August 5, 2025 4:11 AM",No,No,No
"@August 6, 2025 ","August 6, 2025 4:31 AM",No,No,No
"@August 7, 2025 ","August 7, 2025 4:14 AM",No,No,No
"@August 8, 2025 ","August 8, 2025 4:30 AM",No,No,No
"@August 9, 2025 ","August 9, 2025 4:51 AM",No,No,No
"@August 10, 2025 ","August 10, 2025 4:08 AM",No,No,No
"@August 11, 2025 ","August 11, 2025 4:47 AM",No,No,No
"@August 12, 2025 ","August 12, 2025 4:05 AM",No,No,No
"@August 13, 2025 ","August 13, 2025 4:28 AM",No,No,No
"@August 14, 2025 ","August 14, 2025 4:57 AM",No,No,No
"@August 15, 2025 ","August 15, 2025 4:54 AM",No,No,No
"@August 16, 2025 ","August 16, 2025 4:05 AM",No,No,No
"@August 17, 2025 ","August 17, 2025 4:38 AM",No,No,No
"@August 18, 2025 ","August 18, 2025 4:44 AM",No,No,No
"@August 19, 2025 ","August 19, 2025 4:07 AM",No,No,No
"@August 20, 2025 ","August 20, 2025 5:00 AM",No,No,No
"@August 21, 2025 ","August 21, 2025 5:03 AM",No,No,No
"@August 22, 2025 ","August 22, 2025 4:51 AM",No,No,No
"@August 23, 2025 ","August 23, 2025 5:05 AM",No,No,No
"@August 24, 2025 ","August 24, 2025 4:55 AM",No,No,No
"@August 25, 2025 ","August 25, 2025 5:10 AM",No,No,No
"@August 26, 2025 ","August 26, 2025 4:23 AM",No,No,No
"@August 27, 2025 ","August 27, 2025 4:20 AM",No,No,No
"@August 28, 2025 ","August 28, 2025 4:00 AM",No,No,No
"@August 29, 2025 ","August 29, 2025 4:14 AM",No,No,No
"@August 30, 2025 ","August 30, 2025 4:04 AM",No,No,No
"@August 31, 2025 ","August 31, 2025 4:57 AM",No,No,No
"@September 1, 2025 ","September 1, 2025 4:04 AM",No,No,No
"@September 2, 2025 ","September 2, 2025 4:21 AM",No,No,No
"@September 3, 2025 ","September 3, 2025 4:19 AM",No,No,No
"@September 4, 2025 ","September 4, 2025 4:14 AM",No,No,No
"@September 5, 2025 ","September 5, 2025 4:01 AM",No,No,No
"@September 6, 2025 ","September 6, 2025 5:05 AM",No,No,No
"@September 7, 2025 ","September 7, 2025 4:58 AM",No,No,No
"@September 8, 2025 ","September 8, 2025 4:53 AM",No,No,No
"@September 9, 2025 ","September 9, 2025 4:18 AM",No,No,No
"@September 10, 2025 ","September 10, 2025 4:52 AM",No,No,No
"@September 11, 2025 ","September 11, 2025 4:24 AM",No,No,No
"@September 12, 2025 ","September 12, 2025 4:51 AM",No,No,No
"@September 13, 2025 ","September 13, 2025 4:16 AM",No,No,No
"@September 14, 2025 ","September 14, 2025 5:01 AM",No,No,No
"@September 15, 2025 ","September 15, 2025 4:26 AM",No,No,No
"@September 16, 2025 ","September 16, 2025 4:21 AM",No,No,No
"@September 17, 2025 ","September 17, 2025 4:38 AM",No,No,No
"@September 18, 2025 ","September 18, 2025 4:30 AM",No,No,No
"@September 19, 2025 ","September 19, 2025 4:50 AM",No,No,No
"@September 20, 2025 ","September 20, 2025 4:07 AM",No,No,No
"@September 21, 2025 ","September 21, 2025 4:05 AM",No,No,No
"@September 22, 2025 ","September 22, 2025 4:43 AM",No,No,No
"@September 23, 2025 ","September 23, 2025 4:33 AM",No,No,No
"@September 24, 2025 ","September 24, 2025 4:05 AM",No,No,No
"@September 25, 2025 ","September 25, 2025 5:09 AM",No,No,No
"@September 26, 2025 ","September 26, 2025 4:05 AM",No,No,No
"@September 27, 2025 ","September 27, 2025 5:03 AM",No,No,No
"@September 28, 2025 ","September 28, 2025 4:12 AM",No,No,No
"@September 29, 2025 ","September 29, 2025 4:50 AM",No,No,No
"@September 30, 2025 ","September 30, 2025 4:58 AM",No,No,No
"@October 1, 2025 ","October 1, 2025 4:05 AM",No,No,No
"@October 2, 2025 ","October 2, 2025 4:20 AM",No,No,No
"@October 3, 2025 ","October 3, 2025 4:30 AM",No,No,No
"@October 4, 2025 ","October 4, 2025 4:27 AM",No,No,No
"@October 5, 2025 ","October 5, 2025 4:29 AM",No,No,No
"@October 6, 2025 ","October 6, 2025 5:05 AM",No,No,No
"@October 7, 2025 ","October 7, 2025 4:50 AM",No,No,No
"@October 8, 2025 ","October 8, 2025 4:05 AM",No,No,No
"@October 9, 2025 ","October 9, 2025 4:35 AM",No,No,No
"@October 10, 2025 ","October 10, 2025 4:32 AM",No,No,No
"@October 11, 2025 ","October 11, 2025 4:50 AM",No,No,No
"@October 12, 2025 ","October 12, 2025 4:26 AM",No,No,No
"@October 13, 2025 ","October 13, 2025 4:45 AM",No,No,No
