Date,Ran today,Meditated,Practiced guitar
"@March 15, 2025 ",No,No,No
"@March 6, 2025 ",No,No,No
"@February 28, 2025 ",No,No,No
"@March 4, 2025 ",No,No,No
"@March 2, 2025 ",No,No,No
"@March 11, 2025 ",No,No,No
"@March 9, 2025 ",No,No,No
"@March 7, 2025 ",No,No,No
"@February 25, 2025 ",No,No,No
"@March 14, 2025 ",No,No,No
"@March 17, 2025 ",No,No,No
"@March 3, 2025 ",No,No,No
"@March 18, 2025 ",No,No,No
"@March 19, 2025 ",No,No,No
"@March 16, 2025 ",No,No,No
"@March 28, 2025 ",No,No,No
"@March 23, 2025 ",No,No,No
"@April 3, 2025 ",No,No,No
"@April 8, 2025 ",No,No,No
"@April 7, 2025 ",No,No,No
"@March 31, 2025 ",No,No,No
"@March 25, 2025 ",No,No,No
"@March 24, 2025 ",No,No,No
"@March 20, 2025 ",No,No,No
"@March 21, 2025 ",No,No,No
"@April 4, 2025 ",No,No,No
"@March 27, 2025 ",No,No,No
"@March 22, 2025 ",No,No,No
"@March 26, 2025 ",No,No,No
"@March 30, 2025 ",No,No,No
"@April 9, 2025 ",No,No,No
"@April 6, 2025 ",No,No,No
"@March 29, 2025 ",No,No,No
"@April 1, 2025 ",No,No,No
"@April 5, 2025 ",No,No,No
"@April 2, 2025 ",No,No,No
"@April 19, 2025 ",No,No,No
"@April 11, 2025 ",No,No,No
"@April 17, 2025 ",No,No,No
"@April 13, 2025 ",No,No,No
"@April 22, 2025 ",No,No,No
"@April 12, 2025 ",No,No,No
"@April 10, 2025 ",No,No,No
"@April 18, 2025 ",No,No,No
"@April 23, 2025 ",No,No,No
"@April 20, 2025 ",No,No,No
"@April 16, 2025 ",No,No,No
"@April 24, 2025 ",No,No,No
"@April 25, 2025 ",No,No,No
"@April 21, 2025 ",No,No,No
"@April 15, 2025 ",No,No,No
"@April 14, 2025 ",No,No,No
"@May 3, 2025 ",No,No,No
"@May 1, 2025 ",No,No,No
"@April 30, 2025 ",No,No,No
"@May 5, 2025 ",No,No,No
"@April 26, 2025 ",No,No,No
"@April 27, 2025 ",No,No,No
"@May 4, 2025 ",No,No,No
"@April 29, 2025 ",No,No,No
"@April 28, 2025 ",No,No,No
"@May 2, 2025 ",No,No,No
"@May 6, 2025 ",No,No,No
"@May 7, 2025 ",No,No,No
"@May 10, 2025 ",No,No,No
"@May 9, 2025 ",No,No,No
"@May 8, 2025 ",No,No,No
"@May 11, 2025 ",No,No,No
"@May 12, 2025 ",No,No,No
"@May 13, 2025 ",No,No,No
"@May 14, 2025 ",No,No,No
"@May 15, 2025 ",No,No,No
"@May 16, 2025 ",No,No,No
"@May 17, 2025 ",No,No,No
"@May 18, 2025 ",No,No,No
"@May 19, 2025 ",No,No,No
"@May 20, 2025 ",No,No,No
"@May 21, 2025 ",No,No,No
"@May 22, 2025 ",No,No,No
"@May 23, 2025 ",No,No,No
"@May 24, 2025 ",No,No,No
"@May 25, 2025 ",No,No,No
"@May 26, 2025 ",No,No,No
"@May 27, 2025 ",No,No,No
"@May 28, 2025 ",No,No,No
"@May 29, 2025 ",No,No,No
"@May 30, 2025 ",No,No,No
"@May 31, 2025 ",No,No,No
"@June 1, 2025 ",No,No,No
"@June 2, 2025 ",No,No,No
"@June 3, 2025 ",No,No,No
"@June 4, 2025 ",No,No,No
"@June 5, 2025 ",No,No,No
"@June 6, 2025 ",No,No,No
"@June 7, 2025 ",No,No,No
"@June 8, 2025 ",No,No,No
"@June 9, 2025 ",No,No,No
"@June 10, 2025 ",Yes,No,No
"@June 11, 2025 ",No,No,No
"@June 12, 2025 ",No,No,No
"@June 13, 2025 ",No,No,No
"@June 14, 2025 ",No,No,No
"@June 15, 2025 ",No,No,No
"@June 16, 2025 ",No,No,No
"@June 17, 2025 ",No,No,No
"@June 18, 2025 ",No,No,No
"@June 19, 2025 ",No,No,No
"@June 20, 2025 ",No,No,No
"@June 21, 2025 ",No,No,No
"@June 22, 2025 ",No,No,No
"@June 23, 2025 ",No,No,No
"@June 24, 2025 ",No,No,No
"@June 25, 2025 ",No,No,No
"@June 26, 2025 ",No,No,No
"@June 27, 2025 ",No,No,No
"@June 28, 2025 ",No,No,No
"@June 29, 2025 ",No,No,No
"@June 30, 2025 ",No,No,No
"@July 1, 2025 ",No,No,No
"@July 2, 2025 ",No,No,No
"@July 3, 2025 ",No,No,No
"@July 4, 2025 ",No,No,No
"@July 5, 2025 ",No,No,No
"@July 6, 2025 ",No,No,No
"@July 7, 2025 ",No,No,No
"@July 8, 2025 ",No,No,No
"@July 9, 2025 ",No,No,No
"@July 10, 2025 ",No,No,No
"@July 11, 2025 ",No,No,No
"@July 12, 2025 ",No,No,No
"@July 13, 2025 ",No,No,No
"@July 14, 2025 ",No,No,No
"@July 15, 2025 ",No,No,No
"@July 16, 2025 ",No,No,No
"@July 17, 2025 ",No,No,No
"@July 18, 2025 ",No,No,No
"@July 19, 2025 ",No,No,No
"@July 20, 2025 ",No,No,No
"@July 21, 2025 ",No,No,No
"@July 22, 2025 ",No,No,No
"@July 23, 2025 ",No,No,No
"@July 24, 2025 ",No,No,No
"@July 25, 2025 ",No,No,No
"@July 26, 2025 ",No,No,No
"@July 27, 2025 ",No,No,No
"@July 28, 2025 ",No,No,No
"@July 29, 2025 ",No,No,No
"@July 30, 2025 ",No,No,No
"@July 31, 2025 ",No,No,No
"@August 1, 2025 ",No,No,No
"@August 2, 2025 ",No,No,No
"@August 3, 2025 ",No,No,No
"@August 4, 2025 ",No,No,No
"@August 5, 2025 ",No,No,No
"@August 6, 2025 ",No,No,No
"@August 7, 2025 ",No,No,No
"@August 8, 2025 ",No,No,No
"@August 9, 2025 ",No,No,No
"@August 10, 2025 ",No,No,No
"@August 11, 2025 ",No,No,No
"@August 12, 2025 ",No,No,No
"@August 13, 2025 ",No,No,No
"@August 14, 2025 ",No,No,No
"@August 15, 2025 ",No,No,No
"@August 16, 2025 ",No,No,No
"@August 17, 2025 ",No,No,No
"@August 18, 2025 ",No,No,No
"@August 19, 2025 ",No,No,No
"@August 20, 2025 ",No,No,No
"@August 21, 2025 ",No,No,No
"@August 22, 2025 ",No,No,No
"@August 23, 2025 ",No,No,No
"@August 24, 2025 ",No,No,No
"@August 25, 2025 ",No,No,No
"@August 26, 2025 ",No,No,No
"@August 27, 2025 ",No,No,No
"@August 28, 2025 ",No,No,No
"@August 29, 2025 ",No,No,No
"@August 30, 2025 ",No,No,No
"@August 31, 2025 ",No,No,No
"@September 1, 2025 ",No,No,No
"@September 2, 2025 ",No,No,No
"@September 3, 2025 ",No,No,No
"@September 4, 2025 ",No,No,No
"@September 5, 2025 ",No,No,No
"@September 6, 2025 ",No,No,No
"@September 7, 2025 ",No,No,No
"@September 8, 2025 ",No,No,No
"@September 9, 2025 ",No,No,No
"@September 10, 2025 ",No,No,No
"@September 11, 2025 ",No,No,No
"@September 12, 2025 ",No,No,No
"@September 13, 2025 ",No,No,No
"@September 14, 2025 ",No,No,No
"@September 15, 2025 ",No,No,No
"@September 16, 2025 ",No,No,No
"@September 17, 2025 ",No,No,No
"@September 18, 2025 ",No,No,No
"@September 19, 2025 ",No,No,No
"@September 20, 2025 ",No,No,No
"@September 21, 2025 ",No,No,No
"@September 22, 2025 ",No,No,No
"@September 23, 2025 ",No,No,No
"@September 24, 2025 ",No,No,No
"@September 25, 2025 ",No,No,No
"@September 26, 2025 ",No,No,No
"@September 27, 2025 ",No,No,No
"@September 28, 2025 ",No,No,No
"@September 29, 2025 ",No,No,No
"@September 30, 2025 ",No,No,No
"@October 1, 2025 ",No,No,No
"@October 2, 2025 ",No,No,No
"@October 3, 2025 ",No,No,No
"@October 4, 2025 ",No,No,No
"@October 5, 2025 ",No,No,No
"@October 6, 2025 ",No,No,No
"@October 7, 2025 ",No,No,No
"@October 8, 2025 ",No,No,No
"@October 9, 2025 ",No,No,No
"@October 10, 2025 ",No,No,No
"@October 11, 2025 ",No,No,No
"@October 12, 2025 ",No,No,No
"@October 13, 2025 ",No,No,No
